Country Name,Country Code,Series Name,Series Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Argentina,ARG,Age dependency ratio (% of working-age population),SP.POP.DPND,56.0868723571096,55.9732762411572,55.8644592427226,55.7543621214315,55.6112391046053,55.4071736223346,55.1353088624017,54.7600781645305,54.2701483886344,53.7791066729999
Argentina,ARG,Agricultural land (sq. km),AG.LND.AGRI.K2,1229374,1211889,1207394,1189899,1176404,1159577.597,1165577.597,1177577.597,1179577.597,..
Argentina,ARG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,6.05291843670451,6.71270351428559,5.1566859021408,6.26456582010254,5.23162237725058,4.53787889681146,5.3185559967348,6.12846695022316,7.13154104672929,6.44416917103214
Argentina,ARG,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,73.928004235,73.928004235,73.928004235,73.928004235,73.928004235,73.928004235,73.928004235,73.928004235,..,..
Argentina,ARG,"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",ER.H2O.FWDM.ZS,15.4843832716,15.4843832716,15.4843832716,15.4843832716,15.4843832716,15.4843832716,15.4843832716,15.4843832716,..,..
Argentina,ARG,"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",ER.H2O.FWIN.ZS,10.5876124934,10.5876124934,10.5876124934,10.5876124934,10.5876124934,10.5876124934,10.5876124934,10.5876124934,..,..
Argentina,ARG,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,12.9075342465753,12.9075342465753,12.9075342465753,12.9075342465753,12.9075342465753,12.9075342465753,12.9075342465753,12.9075342465753,..,..
Argentina,ARG,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,37.69,37.69,37.69,37.69,37.69,37.69,37.69,37.69,..,..
Argentina,ARG,"Armed forces personnel, total",MS.MIL.TOTL.P1,105650,105650,105450,105450,105000,105200,103000,103000,..,..
Argentina,ARG,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,17.632,17.504,17.346,16.824,16.206,15.187,14.783,14.125,13.902,..
Argentina,ARG,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,97,99.6,99.6,98.4,93.9,99.5,99.6,98.8,..,..
Argentina,ARG,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.34225013023383,4.20911189491323,4.30191380564475,4.20181586904703,4.07011168693629,3.97565074444479,3.74202981162433,3.4056175404138,..,..
Argentina,ARG,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,49.3669875,53.7443477294203,52.8561131710463,55.4965069459518,..,..,..,..,..,..
Argentina,ARG,CO2 emissions from liquid fuel consumption (% of total),EN.ATM.CO2E.LF.ZS,49.3669875,48.6833944750153,49.2362093610619,48.1835999565878,..,..,..,..,..,..
Argentina,ARG,CO2 emissions from manufacturing industries and construction (% of total fuel combustion),EN.CO2.MANF.ZS,16.5274628021461,16.8702250402786,..,..,..,..,..,..,..,..
Argentina,ARG,CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion),EN.CO2.BLDG.ZS,15.2552685436141,14.4639052024323,..,..,..,..,..,..,..,..
Argentina,ARG,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,4235.385,4176.713,4008.031,3010.607,..,..,..,..,..,..
Argentina,ARG,CO2 intensity (kg per kg of oil equivalent energy use),EN.ATM.CO2E.EG.ZS,2.21649125387007,2.07710390733366,..,..,..,..,..,..,..,..
Argentina,ARG,Consumer price index (2010 = 100),FP.CPI.TOTL,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,72.4,..,..,..,..,..,..,70.1,..,..
Argentina,ARG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,9.78097916,9.67129993,10.22933674,9.00189781,10.44225693,9.49909592,9.47170544,9.98438072,..,..
Argentina,ARG,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,1415.21008301,1280.61486816,1525.05310059,1149.31335449,1525.59106445,1122.47497559,958.52349854,863.7144165,..,..
Argentina,ARG,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,1960.46583405056,1896.80603394286,2050.68083322739,1824.83379112357,2463.52308594348,2216.69296697896,2187.828948411,2089.51842182646,..,..
Argentina,ARG,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,15772427855.2,17022961280.9,17902687669.6,25920010650.2,40445152523,43001851186.3,43865206118,29410909701.9,25916580578.3,..
Argentina,ARG,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,2967.37655805218,3074.70207056563,..,..,..,..,..,..,..,..
Argentina,ARG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1967.02167752077,2029.92282543737,..,..,..,..,..,..,..,..
Argentina,ARG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,14.6171733884386,14.4054785893756,10.7056520504538,12.5270951690009,11.3202833596733,14.4366857499034,17.9248783778462,16.6108723998011,18.0342289894963,16.7780368212333
Argentina,ARG,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,150225027402.1,153793761987.6,177184603465.6,181638508190.7,225925335186.1,277827089406.2,280684783388,255558142878.8,246306711414,..
Argentina,ARG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.322,2.312,2.301,2.241,2.168,2.039,1.994,1.911,1.885,..
Argentina,ARG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,9821661858.15874,5065335541.96486,11758994011.286,3260164341.77393,11516861462.2845,11716769818.7543,6649187837.98606,4884127675.95708,6902840207.74343,15408346793.7001
Argentina,ARG,Forest area (sq. km),AG.LND.FRST.K2,295438,293204,290970,290100,288990,287910,286810,285730,284636.667,..
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,552025140252.246,526319673731.638,594749285413.212,557532317363.451,643628396190.388,524819898586.906,447754686715.081,385540406815.599,487227125385.641,632770284408.51
Argentina,ARG,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,464.780047776689,652.007262571679,825.310738210731,1164.67339673925,1467.56277769074,2084.4332574088,3109.88226850322,4356.22614751175,6715.22767603458,11394.5904376371
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.40532378079436,-2.51261532081394,2.73115982828944,-2.08032784377811,2.81850297775918,-2.61739646282038,-2.00086100285785,-9.94323513446069,10.3982494646904,5.2430444992488
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,13080.2547323367,12334.7982453893,13789.060424772,12790.2640639201,14613.035714704,11795.1628852236,9963.67423069626,8496.428156755,10636.1155301986,13686.0086737317
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,12870,12350,12600,12220,13140,12430,11220,9010,9960,11620
Argentina,ARG,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,19700,19280,19730,19860,22990,22460,22100,20250,23280,26030
Argentina,ARG,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,543284042583.172,526784533341.896,543279945580.356,532504166136.29,578798149099.742,553193026132.299,504056288864.965,408849256733.706,456139454397.529,537019748594.914
